################################################################
# MalwareBazaar recent malware samples (CSV)                   #
# Last updated: 2025-04-24 10:02:57 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "first_seen_utc","sha256_hash","md5_hash","sha1_hash","reporter","file_name","file_type_guess","mime_type","signature","clamav","vtpercent","imphash","ssdeep","tlsh"
"2025-04-24 10:02:57", "f09565014effccfaae4c47a2b92ebd8b2525ac6480774aa809d59955ef439241", "6f3fe0c3412f02a50280e7344089f6ca", "3ee9670cf7399a660fbc674b1b293250e8de0108", "abuse_ch", "na", "elf", "application/x-executable", "Prometei", "n/a", "n/a", "n/a", "12288:qb143S0q+8eXS1/f2Wc3slC3yjTjMv+9XSJhBXEsV3b9gh4J8zMSv7MzOup8MplM:qmShf4OTjMgXSJhBXEsVrmz9MOup1Khj", "T181155B653700EF5EF39DE27108F287E046D125F31AD24296A278C71C6EE161D28AFDE9"
"2025-04-24 09:57:48", "e1c12ccc3813292112405f705fec91c181dcc829173ae992cc5c53afeed36980", "12463ad8b5145a8c650c011fe5a2e06a", "0dc4e27021bd84fd0bd0069bec5d620a4c375a5c", "abuse_ch", "na", "elf", "application/x-executable", "Prometei", "n/a", "n/a", "n/a", "12288:qb143S0q+8eXS1/f2Wc3slC3yjTjMv+9XSJhBXEsV3b9gh4J8zMSv7MzOup8Mple:qmShf4OTjMgXSJhBXEsVrmz9MOup1KhR", "T196155B653700EF5EF39DE27108F287E046D125F31AD24296A278C71C6EE161D28AFDE9"
"2025-04-24 09:57:46", "867f2479a1e3b8cf91932efaa5a43cd5498b21fe90f56bf2bfa03b01a4fac746", "a9a4758ce8fa7314a38613f4050e5f53", "e11e4e1e68ac40afbaedac5811e8f058ec0af86d", "abuse_ch", "hanoi.x86_64", "elf", "application/x-executable", "Mirai", "n/a", "n/a", "n/a", "768:qPtD/F2cXS16UdB63MxfR2ayo/R6mjzc1/R7CBbZMOrG:qV7F2cXSp68xfgvYbzk7ChfC", "T13AE2F19FB23C5FA6D90E75794CBE426077431012A991F812C6C0F5D96A0EE26B5F81B3"
"2025-04-24 09:52:49", "060c761ef2702dd8c749c5a948d3004f086c38b2f026545ec8271c11ff4609c6", "0c131d093534e12d6a88453fdf23ed86", "cd098e58b1deb0eb716c7706e3be3a04cbb3083a", "abuse_ch", "hanoi.x86", "elf", "application/x-executable", "n/a", "n/a", "n/a", "n/a", "768:vHjBmlTdNLpeBh1y4J1fqUdVaOPf2L5m/WAiJ7GEDVAHFyIL:vHlmlRNMd1S6knL5m+H56lyq", "T1A4F20226AF5FD56DDC2B90B4C218AB8B0E4191434107EC70976B8B2AF53E3E81349B1F"
"2025-04-24 09:52:48", "4aca752c04a7c99782924119021948f1fdcb1c7c783f01d5d52efa087bb11b30", "82de59a31f76ff3287605bb5997dcae4", "adf0a9067cb3e0300ac7ffb03ef64010a410f23d", "abuse_ch", "na", "elf", "application/x-executable", "Prometei", "n/a", "38.10", "n/a", "6144:63fxS1fHETSACF2Gzm5DVvSHrKKRH4SCra+HWMiFbcAOXmb4Dsi6wwcitgI:25WOSACZSV6eKRH5EPiamb4DsDwwcY", "T1A69423F8C83D2E3098169F3CBB1A826CF0A15772D9562F6AB51AF5732179F1FAC60101"
"2025-04-24 09:48:47", "bb14569504a137a5aa8d5923abbfb57659727db4d5903da93e577cf7cb9fe319", "95cb108aed0e1423a1e09ae01e0abcb9", "87898a71b75643e4c6cbb10bcb477e62d9159f8f", "threatcat_ch", "Quotation.scr", "exe", "application/x-dosexec", "RemcosRAT", "n/a", "39.44", "f34d5f2d4577ed6d9ceec516c1f5a744", "24576:cP0jmHjfuyKh2IfplZx7D3B6OALhO40n1g4b47:cMj0jfuyOBHx7DRlE4g4", "T19A359CE13A21B3CECD6DCA31B4589CB542A11D6B7106FA93D8C92F9731CD2749A08F5E"
"2025-04-24 09:42:47", "930ea4f96130eba2f99b288d8174325c4ba2bf248eceb234ba19121ae5d4dcb9", "d1d03707e1c717c7c4f8b4d3c1d2d4ad", "7f2ebed81dca029267822f8489dfa925658abacd", "abuse_ch", "server", "elf", "application/x-sharedlib", "n/a", "n/a", "0.00", "n/a", "384:ByWfQmPeVTqJbFezbdRVhA95rvwRtvfnd6JX/USdfcfkmjWOxNVUpm:3f1HSIdfpmjWQgpm", "T1E0A2B62BA7D3CF39DCC0A77819D78674E2B1BCB0DF35920B920415A65A013984F2EA96"
"2025-04-24 09:32:57", "b78d5931e6377bf562a36b6a00cd292a9d93b40c20c6ab9ade4bdca12d6620cd", "bb7921627b905476ad8d7cafcd3fcfd7", "07997f2be3698839438c7d96c52c6cb955664537", "abuse_ch", "na", "elf", "application/x-executable", "Prometei", "n/a", "37.50", "n/a", "6144:63fxS1fHETSACF2Gzm5DVvSHrKKRH4SCra+HWMiFbcAOXmb4Dsi6wwcitgT:25WOSACZSV6eKRH5EPiamb4DsDwwcD", "T1EF9423F8C83D2E3098169B3CBB5A826CF0E15772D9562F6EB51AE5732179F1FAC60101"
"2025-04-24 09:27:54", "a610314d5fdf2cf4b74b409a73e6ef8ce1dcf755382b2677381abcf93ed3cffc", "5b1eb7bce511ea9beeb91c7d64aede4b", "3cbb7aee0eb86cc52e170d2828b0c8b38cd5e886", "abuse_ch", "sshd", "elf", "application/x-executable", "SSHdKit", "n/a", "41.94", "n/a", "12288:E8dASOYRNCAJump208iJftl7zOnSrlcaUxQ5TVFQGl9eLtRajZa6ZTxIVD7bLv:E8dbbsOf8+TfgRinIVvv", "T122356D56F9808EA2C5D8177BF75D835833134B78D7DEB102CD08672877AB95A0E3B982"
"2025-04-24 09:17:45", "e3119f375b33d69d234d5c34cc0a6189382d685ea332237fb1ab6684313192c1", "27263012dae8d07738840967e826e5be", "fbb58540bd8b4642855d877640d7ae584e592d8b", "abuse_ch", "server", "elf", "application/x-sharedlib", "n/a", "n/a", "0.00", "n/a", "384:EdyWfQmP+FTqJLV+jLNx1BANZrfQht/fnUZB/USd4cfkGjWOxNVUpm:Uf1nSqd4pGjWQgpm", "T145A2A72BA7D3CF39DCC0A77859E74274F2A0BCB0DF36911B920455B65E013984F2BA96"
"2025-04-24 09:17:37", "6563c203ea1c55ed96cb4affb720c843e1c9c6b32f8a1fc6fd7d84624d346b38", "d90287bb195ae647825a86c62887aa58", "801684c39665942da24805809a043f997c64a6fa", "threatcat_ch", "QHT-CC250001-B(01).exe", "exe", "application/x-dosexec", "Formbook", "n/a", "40.28", "f34d5f2d4577ed6d9ceec516c1f5a744", "24576:SRrJHjmHjT5pzXRRSBZPDT6x9KV8cWYGsAn:SR1j0jTMVKx9ktddAn", "T19B158BD03A21B3DECD6DCA31B9589C7582A10D6B7149F6E3D8C92F9731CD2309A08B5E"
"2025-04-24 09:12:48", "5dd131905b8200fc5e8d24d3a19f53bfe7c85bcc95922b8fce995fde435b9698", "6701cddea53f820dddcdf50748f63d70", "a9b36dd71c0b17820b1ed36e0757745f9eb48f3b", "abuse_ch", "na", "elf", "application/x-executable", "Prometei", "n/a", "38.10", "n/a", "6144:63fxS1fHETSACF2Gzm5DVvSHrKKRH4SCra+HWMiFbcAOXmb4Dsi6wwcitgI:25WOSACZSV6eKRH5EPiamb4DsDwwcY", "T1B29423F8C83D2E30D8169B3CBB5A826CF0A15772D9562F6AB51AE5732179F1FAC60101"
"2025-04-24 09:12:46", "748113bb70cf383512b08e02e66d7283e947ca062edf96d33f5848feb51122ca", "378fb692af29df3b9a39eb03a3af13f4", "6942ef75c44569befe2f8522e7a5a03a828514b8", "abuse_ch", "na", "elf", "application/x-executable", "Prometei", "n/a", "50.00", "n/a", "12288:qb143S0q+8eXS1/f2Wc3slC3yjTjMv+9XSJhBXEsV3b9gh4J8zMSv7MzOup8MplN:qmShf4OTjMgXSJhBXEsVrmz9MOup1Khq", "T1D3155B653700EF5EF39DE27108F287E046D125F31AD24296A278C71C6EE161D28AFDE9"
"2025-04-24 09:04:31", "38b364af710caf0396f2ed1dfbf87da760b53ce22d6b87c741048e4514e21fc7", "51af1107fbaa27dfad1730338521977e", "456df6448b70958caad453f4a48c40008ae39a76", "abuse_ch", "zeros6x.sh", "sh", "text/x-shellscript", "Mirai", "n/a", "56.67", "n/a", "48:v2K1K92KEKh2KLDKL52KBK12KyKJ2K9KN2KEK52KYKL2KPKt2K8KC:v2sU2D42kk2UU2No2C02TI2hW2AE215", "T1DE41C4DA40808BB03EAB9C3BE5A6418A72C262C144D34F827ACDBCF4455ED24E985AC2"
"2025-04-24 09:04:29", "57d39c8da17fa3f25aba25014dc179e1392fb81d3329faf7ce2e65da7f087bc2", "4bfe0ddbeeefc53f515f5e1f8f6bc5a2", "126d84b6f3955941fa661c33355c0b5768b8cf94", "abuse_ch", "sshd", "elf", "application/x-executable", "SSHdKit", "n/a", "39.34", "n/a", "12288:00Bw2wHeeJgR3asIAksAi0uObzkzOgFr1qwRcFjV1D7a9KbsaKjpeFmzb:00BnRED/TwOjX0a5s", "T1F1255C66F9508AE2C6C41B7BBB5DC75833531B78D7DE7002CD08672437EA85A0E7B982"
"2025-04-24 08:58:42", "5a54f42467fa49dc5c1326b77723246836fecab48defc3784d23ca461b15b48c", "cca39292c294ca6f38f01445c2522f02", "42f2594456e3ce5ce97f0a0410c0c793f768894b", "abuse_ch", "k2", "elf", "application/x-executable", "n/a", "n/a", "15.52", "n/a", "1536:ZSFjzEk9CGdK50IMGIpmdx07Ol/hnVxK0MElvv/PNLIX8VKKjGIT05VRK:UFzEkA1kpmdx07Ol/hnVYwG8", "T103A3D78BFB610EFFD85BCD3705980B1528CC561752E82FB63639D828BB8654B46D3CA4"
"2025-04-24 08:53:53", "6b91eecfa69c5c5692ca3f1e8881d51ded6dc5b09ee1a788fd3f03c75ce79c1d", "6ad0a82da5cbc5d891596303776571b3", "dfe849165b54bec99ce99d9adc4db9258a8fc097", "abuse_ch", "na", "elf", "application/x-executable", "Prometei", "n/a", "37.93", "n/a", "6144:63fxS1fHETSACF2Gzm5DVvSHrKKRH4SCra+HWMiFbcAOXmb4Dsi6wwcitgK:25WOSACZSV6eKRH5EPiamb4DsDwwc6", "T1D59423F8C83D2E3098169B3CBB5A8268F0A15772D9562F6EB51AF5732179F1FAC60101"
"2025-04-24 08:52:12", "e4d25ae2d495fd330b3bf859e87172a1c3c00272c23a372b52b4733231942bba", "0cd5adee35d5e3f15a5146148855eb99", "b7d434bb10fddb150ffd0736ff737ac3862123b1", "sodj3ioejrwjew", "dropper_x64.bin", "elf", "application/x-executable", "n/a", "n/a", "45.31", "n/a", "49152:MxPxetxv60Je1YaUyOq0OhffXpHDoDsqZAWPlgKAehBS+eaBf2yao64eICenp:rvuWXyOqXfv1DPq2WPSKBDRlaolepWp", "T1F9C523DAF635A65FD456C074D345E8E329A0AF700A608687BA82553C3B720CD9FDB70E"
"2025-04-24 08:49:18", "6308c3bf86653648bfe946f0a783ba00b0231e090c19f9b4d8622b0e373c94bf", "56194f8fd827fab5a491c33de1e9dede", "080a7c3f8d71e70b7cee73b3f5080db505814102", "abuse_ch", "server", "elf", "application/x-sharedlib", "n/a", "n/a", "0.00", "n/a", "384:joezqXuLEonzSfyoS7SIhmIqR7bIpG7rUwdKvN6YzjWbxhVkJm:RG4hudKJjWF0Jm", "T11B82B70BE7D3CB3AE8D497B859974734E2B2BCB0EB356217520425B62F013884F1EE95"
"2025-04-24 08:43:10", "b297c4b88cbcc2f3f88264ef25ed8c2397fed6eee7f64f97a50216ff466b1ee9", "d834a4d53eb71abc7136973681b5063f", "0d023bb48f3fe35fba740fd7ebd5879172b82728", "abuse_ch", "na", "elf", "application/x-executable", "Prometei", "n/a", "37.50", "n/a", "6144:63fxS1fHETSACF2Gzm5DVvSHrKKRH4SCra+HWMiFbcAOXmb4Dsi6wwcitg9L:25WOSACZSV6eKRH5EPiamb4DsDwwcNL", "T1339423F8C83D2E3098169B3CBB5A826CF0A15772D9562F6AB51AF5732179F1FAC60101"
"2025-04-24 08:43:08", "c3e70e778cb4a5265d35e74cea74d250b6b1ff15dd75db8c3d1a526dd824623a", "13fb3285b7a758be865c5ef7d42df5d8", "9a9248e3c7dacb194ca3a7e293dec1724ae9eaa0", "abuse_ch", "k3", "elf", "application/x-executable", "n/a", "n/a", "22.58", "n/a", "1536:6gQkAlxtuHVUlf7zOSvNiC2RHEZgTfixybFmAqb+ux:mkAl/u6lfWQPYHWdMFmAqb+2", "T1977309827881AB3AC7C256B7FD8F034D331613ACE2FB764398216F64339B55E0E26556"
"2025-04-24 08:41:45", "a45481ed9a5ac7c7bdc563ea4d6d88a801e4ebad059a19f7bb6a0aa99efbaf69", "b58fa150aa20d437c68ccd9d6f1c8910", "9cd899d7ca7fcd4bf76ba56ffa70a1e66f62a64d", "cocaman", "PO-010816-WA0002.exe", "exe", "application/x-dosexec", "Formbook", "n/a", "38.89", "afcdf79be1557326c854b6e20cb900a7", "24576:Ju6J33O0c+JY5UZ+XC0kGso6Fa3thteyOo4UTnkIXKPkWY:ru0c++OCvkGs9FaPAoRnBa/Y", "T16D65CF2267DDC266C7664533BEA9F3256E7F6D601D24B5432F943CBCBD306A02A1C293"
